Nama Objek,Tgl Penilaian,Alamat,RT/RW,Desa,Kecamatan,Kota,Provinsi,Koordinat,Jumlah Satuan,Luas Tanah,Luas Bangunan,Indikasi Nilai Tanah,Nilai Objek,Total Nilai,Klasifikasi,Jenis_Objek,Jenis Objek Lainnya,Tujuan Penilaian,Tujuan Penilaian Lainnya,Pendekatan Penilaian,Pendekatan Penilaian Lainnya,Metode Penilaian1,Metode Penilaian Lainnya1,Metode Penilaian2,Metode Penilaian Lainnya2,Dasar Nilai,Dasar Nilai Lainnya,Latitude,Longitude
Ruko,27 Agustus 2021,"Ruko Grand Boulevard Duta Garden, Blok D 1 No. 05",-,Jurumudi,Benda,Kota Tangerang,Banten,"-6.17525, 106.84119444444444",1,56,164,"Rp2.263.200.000,00","Rp2.263.200.000,00","Rp2.263.200.000,00",Properti Sederhana,Ruko,(NULL),Penjamin Utang,(NULL),Pendekatan Pasar,(NULL),Perbandingan Data Pasar,(NULL),(NULL),(NULL),Nilai Pasar,(NULL),-6.17525,106.84119444444444
Mixed Use,1 April 2021,Jalan Aria Santika No. 43 A,003/003,Margasari,Karawaci,Kota Tangerang,Banten,"-6.179416666666667, 106.60805555555555",1,3756,971,"Rp4.650.000,00","Rp20.734.800.000,00","Rp20.734.800.000,00",Properti,Mixed Use,(NULL),Penjamin Utang,(NULL),Pendekatan Biaya,(NULL),Biaya Reproduksi,(NULL),(NULL),(NULL),Nilai Pasar,(NULL),-6.179416666666667,106.60805555555557
Mixed Use,16 November 2021,Jalan Pembangunan IV No. 27,004/003,Karang Sari,Neglasari,Kota Tangerang,Banten,"-6.16575, 106.64091666666667",1,895,478,"Rp5.085.000,00","Rp5.345.430.000,00","Rp5.345.430.000,00",Properti,Mixed Use,(NULL),Lelang,(NULL),Pendekatan Biaya,(NULL),Biaya Pengganti,(NULL),(NULL),(NULL),Nilai Pasar,(NULL),-6.16575,106.64091666666668
Ruko,13 Oktober 2021,Komplek Ruko Modern Land Blok R No. 1,003/01,Kelapa Indah,Tangerang,Kota Tangerang,Banten,"-6.202527777777778, 106.6413888888889",1,90,161,"Rp1.703.000.000,00","Rp1.703.000.000,00","Rp1.703.000.000,00",Properti,Ruko,(NULL),Penjamin Utang,(NULL),Pendekatan Pasar,(NULL),Perbandingan Data Pasar,(NULL),(NULL),(NULL),Nilai Pasar,(NULL),-6.202527777777778,106.6413888888889
Mixed Use,21 Januari 2021,"Jl. Perancis No. 158 RT 003 RW 008 Kel. Benda, Kec. Benda, Kota Tangerang, Prov. Banten.",003/008,Benda,Benda,Kota Tangerang,Banten,"-6.10875, 106.683",1,1807,198,"Rp8.000.000,00","Rp14.618.400.000,00","Rp14.618.400.000,00",Properti,Mixed Use,(NULL),Penjamin Utang,(NULL),Pendekatan Pendapatan,(NULL),Lainnya,perbandingan data pasar,Lainnya,biaya pengganti baru terdepresiasi,Nilai Pasar,(NULL),-6.10875,106.683
Ruko,21 Januari 2021,"Komplek Ruko Daan Mogot Arcadia Blok D No. 10, Kel. Batu Ceper, Kec. Batu Ceper, Kota Tangerang, Prov. Banten.",-,Batuceper,Batuceper,Kota Tangerang,Banten,"-6.162083333333333, 106.66508333333334",1,64,222,"Rp5.420.000,00","Rp1.204.200.000,00","Rp1.204.200.000,00",Properti Sederhana,Ruko,(NULL),Lelang,(NULL),Pendekatan Pasar,(NULL),Perbandingan Data Pasar,(NULL),(NULL),(NULL),Nilai Pasar,(NULL),-6.162083333333333,106.66508333333334
Ruko,21 Juni 2021,"Jl. KH Ahmad Dahlan No. 02, Kelurahan Petir, Kecamatan Cipondoh, Kotamadya Tangerang, Provinsi Banten - 15147",-,Petir,Cipondoh,Kota Tangerang,Banten,"-6.186555555555556, 106.71655555555556",1,902,"2152,5","Rp5.651.000,00","Rp12.163.777.500,00","Rp12.163.777.500,00",Properti,Ruko,(NULL),Penjamin Utang,(NULL),Pendekatan Pasar,(NULL),Perbandingan Data Pasar,(NULL),(NULL),(NULL),Nilai Pasar,(NULL),-6.186555555555556,106.71655555555556
Ruko,18 Oktober 2021,RUKO TOWN SQUARE BLOK AA2 NO 5&6 JL MH THAMRIN,-,Panunggangan Utara,Pinang,Kota Tangerang,Banten,"-6.221638888888889, 106.63358333333333",2,150,"408,30","Rp13.000.000,00","Rp5.307.900.000,00","Rp5.307.900.000,00",Properti,Ruko,(NULL),Lelang,(NULL),Pendekatan Pasar,(NULL),Perbandingan Data Pasar,(NULL),(NULL),(NULL),Nilai Pasar,(NULL),-6.221638888888889,106.63358333333332
Ruko,15 Juli 2021,Jalan Hos Cokroaminoto No. 93 (CBD Ciledug) Blok D-2 No. 10,-,Karang Tengah,Karang Tengah,Kota Tangerang,Banten,"-6.223166666666667, 106.70930555555556",1,75,275,"Rp8.600.000,00","Rp2.365.000.000,00","Rp2.365.000.000,00",Properti Sederhana,Ruko,(NULL),Penjamin Utang,(NULL),Pendekatan Pasar,(NULL),Perbandingan Data Pasar,(NULL),(NULL),(NULL),Nilai Pasar,(NULL),-6.223166666666667,106.70930555555556
Mixed Use,10 Desember 2021,"Jalan Raden Saleh No. 8, Kelurahan Karang Mulya, Kecamatan Karang Tengah, Kota Tangerang, Propinsi Banten.",000/000,Karang Mulya,Karang Tengah,Kota Tangerang,Banten,"-6.203305555555556, 106.71608333333333",1,12340,"691,50","Rp8.100.000,00","Rp101.143.200.000,00","Rp101.143.200.000,00",Properti,Mixed Use,(NULL),Penjamin Utang,(NULL),Pendekatan Biaya,(NULL),Lainnya,tanah : Perbandingan Data Pasar,Lainnya,bangunan : Biaya Pengganti Baru Terdepresiasi,Nilai Pasar,(NULL),-6.203305555555556,106.71608333333332
Ruko,23 Januari 2021,"Ruko Smart Market Daan Mogot Blok B No. 8, Jalan Daan Mogot Km 19",000/000,Kebon Besar,Batuceper,Kota Tangerang,Banten,"-6.161107, 106.681241",1,54,99,"Rp10.333.000,00","Rp1.022.967.000,00","Rp1.022.967.000,00",Properti Sederhana,Ruko,(NULL),Penjamin Utang,(NULL),(NULL),(NULL),(NULL),(NULL),(NULL),(NULL),Nilai Pasar,(NULL),-6.161107,106.681241
Ruko,24 Mei 2021,"Tangerang,  Cipadu, Larangan, Tangerang City, Banten 15155",0,Cipadu,Larangan,Kota Tangerang,Banten,"-6.2398801, 106.7316814",1,58,56,"Rp16.310.345,00","Rp946.000.000,00","Rp946.000.000,00",Properti,Ruko,(NULL),Lelang,(NULL),Pendekatan Biaya,(NULL),Biaya Reproduksi,(NULL),Lainnya,(NULL),Nilai Pasar,(NULL),-6.2398801,106.7316814
Ruko,17 November 2021,Ruko Azores Taman Banjar Wijaya Blok B.17-A. No.42. 15141,00/00,Poris Plawad Indah,Cipondoh,Kota Tangerang,Banten,"-6.11503, 106.39407",1,56,96,"Rp2.736.000,00","Rp1.766.400.000,00","Rp1.766.400.000,00",Properti,Ruko,(NULL),Penjamin Utang,(NULL),Pendekatan Pasar,(NULL),Lainnya,PENDEKATAN PASAR,(NULL),(NULL),Nilai Pasar,(NULL),-6.11503,106.39407
Ruko,31 Desember 2020,"Komplek Ruko Tangcity Business Park, Jalan Perintis Kemerdekaan Blok C No. 8, Kelurahan Babakan, Kecamatan Tangerang, Kota Tangerang, Provinsi Banten",-,Babakan,Tangerang,Kota Tangerang,Banten,"-6.192364, 106.636088",1,79,237,"Rp13.359.140,00","Rp3.166.000.000,00","Rp3.166.000.000,00",Properti,Ruko,(NULL),Pelaporan Keuangan (sesuai SAK),(NULL),Lainnya,Pendekatan Biaya dan Pendekatan Pasar,Lainnya,Biaya Pengganti Terdepresiasi dan Perbandingan Data Pasar,Lainnya,Biaya Pengganti Terdepresiasi dan Perbandingan Data Pasar,Nilai Wajar,(NULL),-6.192364,106.636088
Ruko,31 Desember 2020,"Jalan HOS Cokroaminoto No. 10B, Kelurahan Kreo,  Kecamatan Larangan, Kota Tangerang Selatan, Provinsi Banten",-,Kreo,Larangan,Kota Tangerang,Banten,"-6.235502, 106.742149",2,196,197,"Rp26.913.089,00","Rp4.458.000.000,00","Rp4.458.000.000,00",Properti,Ruko,(NULL),Pelaporan Keuangan (sesuai SAK),(NULL),Lainnya,Pendekatan Biaya dan Pendekatan Pasar,Lainnya,Biaya Pengganti Terdepresiasi dan Perbandingan Data Pasar,Lainnya,Biaya Pengganti Terdepresiasi dan Perbandingan Data Pasar,Nilai Wajar,(NULL),-6.235502,106.742149
Ruko,31 Desember 2020,"Jalan Proklamasi No. 12-12 A, RT.004/RW.007, Kelurahan Cimone, Kecamatan Karawaci, Kota Tangerang, Provinsi Banten",-,Cimone,Karawaci,Kota Tangerang,Banten,"-6.191750, 106.612209",2,264,455,"Rp11.372.426,00","Rp5.118.000.000,00","Rp5.118.000.000,00",Properti,Ruko,(NULL),Pelaporan Keuangan (sesuai SAK),(NULL),Lainnya,Pendekatan Biaya dan Pendekatan Pasar,Lainnya,Biaya Pengganti Terdepresiasi dan Perbandingan Data Pasar,Lainnya,Biaya Pengganti Terdepresiasi dan Perbandingan Data Pasar,Nilai Wajar,(NULL),-6.19175,106.612209
Ruko,13 Januari 2021,Perumahan Greenlake City Rukan CBD Blok N No. 10,-,Ketapang,Cipondoh,Kota Tangerang,Banten,"-6.183768, 106.700001",1,67,228,"Rp2.964.000.000,00","Rp2.964.000.000,00","Rp2.964.000.000,00",Properti Sederhana,Ruko,(NULL),Penjamin Utang,(NULL),Pendekatan Pasar,(NULL),Perbandingan Data Pasar,(NULL),(NULL),(NULL),Nilai Pasar,(NULL),-6.183768,106.700001
Mixed Use,9 Februari 2021,"Kawasan Industri Jatake, Jalan Industri VI, Blok J No. 3",000/000,Pasir Jaya,Jati Uwung,Kota Tangerang,Banten,"-6.197226, 106.558533",1,2209,1463,"Rp2.900.000,00","Rp9.518.850.000,00","Rp9.518.850.000,00",Properti,Mixed Use,(NULL),Penjamin Utang,(NULL),Pendekatan Pendapatan,(NULL),Lainnya,Metode Biaya Pengganti,(NULL),(NULL),Nilai Pasar,(NULL),-6.197226,106.558533
Mixed Use,13 Januari 2021,"Jalan Dr. Cipto Mangunkusumo No. 3, Kelurahan Sudimara Timur, Kecamatan Ciledug, Kota Tangerang, Provinsi Banten",000/000,Sudimara Timur,Ciledug,Kota Tangerang,Banten,"-6.2301327, 106.7213165",3755,3755,"2722,27","Rp11.023.941,00","Rp47.843.000.000,00","Rp47.843.000.000,00",Properti,Mixed Use,(NULL),Jual-Beli,(NULL),Pendekatan Biaya,(NULL),Biaya Pengganti,(NULL),(NULL),(NULL),Nilai Pasar,(NULL),-6.2301327,106.7213165
Ruko,8 Februari 2021,Ruko Taman Mahkota Blok A1 No. 16-17,000/000,Benda,Benda,Kota Tangerang,Banten,"-6.119042, 106.687977",1,164,464,"Rp11.764.000,00","Rp5.478.448.000,00","Rp5.478.448.000,00",Properti,Ruko,(NULL),Penjamin Utang,(NULL),Pendekatan Pasar,(NULL),Perbandingan Data Pasar,(NULL),(NULL),(NULL),Nilai Pasar,(NULL),-6.119042,106.687977
Ruko,2 Februari 2021,Komp. Ruko Premier Park 2 Blok C No. 30,000/000,Cikokol,Tangerang,Kota Tangerang,Banten,"-6.2097738524935755, 106.63758606642574",1,60,98,"Rp14.636.469,00","Rp1.434.373.967,00","Rp1.434.373.967,00",Properti Sederhana,Ruko,(NULL),Penjamin Utang,(NULL),Pendekatan Biaya,(NULL),Biaya Pengganti,(NULL),Biaya Pengganti,(NULL),Nilai Pasar,(NULL),-6.209773852493576,106.63758606642574
Ruko,3 Juni 2021,Komplek Pasar Anyar Jl. Ki Asnawi No. 123,001/007,Sukarasa,Tangerang,Kota Tangerang,Banten,"-6.176333,106.633972",1,59,168,"Rp25.000.000,00","Rp1.983.000.000,00","Rp1.983.000.000,00",Properti Sederhana,Ruko,(NULL),Penjamin Utang,(NULL),Pendekatan Pasar,(NULL),Perbandingan Data Pasar,(NULL),Perbandingan Data Pasar,(NULL),Nilai Pasar,(NULL),-6.176333,106.633972
Ruko,3 Juni 2021,Jalan Ki. Asnawi No. 166 AB,001/007,Sukarasa,Tangerang,Kota Tangerang,Banten,"-6.176389,106.634361",1,210,233,"Rp18.240.000,00","Rp4.530.000.000,00","Rp4.530.000.000,00",Properti Sederhana,Ruko,(NULL),Penjamin Utang,(NULL),Pendekatan Pasar,(NULL),Perbandingan Data Pasar,(NULL),Perbandingan Data Pasar,(NULL),Nilai Pasar,(NULL),-6.176389,106.634361
Ruko,3 Juni 2021,Komplek Pasar Lama Jalan Kisamaun,005/006,Sukarasa,Tangerang,Kota Tangerang,Banten,"-6.178056,106.630194",1,100,290,"Rp21.490.000,00","Rp3.019.000.000,00","Rp3.019.000.000,00",Properti Sederhana,Ruko,(NULL),Penjamin Utang,(NULL),Pendekatan Pasar,(NULL),Perbandingan Data Pasar,(NULL),Perbandingan Data Pasar,(NULL),Nilai Pasar,(NULL),-6.178056,106.630194
Ruko,17 Februari 2021,"Komplek Ruko Komala Blok A,B,C,D,E,F, Jalan KH Hasyim Ashari No. 2",004/002,Cipondoh,Cipondoh,Kota Tangerang,Banten,"-6.191473, 106.670941",1,1113,1155,"Rp17.360.000,00","Rp20.050.800.000,00","Rp20.050.800.000,00",Properti,Ruko,(NULL),Penjamin Utang,(NULL),Pendekatan Pasar,(NULL),Perbandingan Data Pasar,(NULL),Perbandingan Data Pasar,(NULL),Nilai Pasar,(NULL),-6.191473,106.670941
Ruko,22 Maret 2021,komplek Ruko Pinangsia Blok B No. 22 Jl. Imam Bonjol,000/000,Panunggangan Barat,Cibodas,Kota Tangerang,Banten,"-6.223558, 106.619729",1,100,290,"Rp11.730.000,00","Rp3.401.700.000,00","Rp3.401.700.000,00",Properti,Ruko,(NULL),Penjamin Utang,(NULL),Pendekatan Pasar,(NULL),Perbandingan Data Pasar,(NULL),(NULL),(NULL),Nilai Pasar,(NULL),-6.223558,106.619729
Ruko,8 Februari 2021,"Komplek Ruko Tropicana Residence, Jalan Buaran Blok A No. 2",-,Cikokol,Tangerang,Kota Tangerang,Banten,"-6.208579, 106.641544",1,60,104,"Rp1.352.000.000,00","Rp1.352.000.000,00","Rp1.352.000.000,00",Properti Sederhana,Ruko,(NULL),Penjamin Utang,(NULL),Pendekatan Pasar,(NULL),Perbandingan Data Pasar,(NULL),(NULL),(NULL),Nilai Pasar,(NULL),-6.208579,106.641544
Ruko,29 April 2021,Jalan Hos Cokroaminoto kavling G-77 No. 16-17,000/000,Kreo,Larangan,Kota Tangerang,Banten,"-6.233358, 106.736584",1,247,445,"Rp356.911,00","Rp159.000.000,00","Rp159.000.000,00",Properti,Ruko,(NULL),Lainnya,(NULL),Pendekatan Pendapatan,(NULL),Lainnya,Metode Perbandingan Data Pasar,Lainnya,Metode Biaya Pengganti,Nilai Sewa Pasar,(NULL),-6.233358,106.736584
Ruko,28 April 2021,"Jalan HOS. Cokroaminoto, Ruko Ciledug Center Blok B7",000/000,Larangan Utara,Larangan,Kota Tangerang,Banten,"-6.230139, 106.723528",1,104,360,"Rp9.200.000,00","Rp3.312.000.000,00","Rp3.312.000.000,00",Properti,Ruko,(NULL),Penjamin Utang,(NULL),Pendekatan Pasar,(NULL),Perbandingan Data Pasar,(NULL),(NULL),(NULL),Nilai Pasar,(NULL),-6.230139,106.723528
Ruko,28 Mei 2021,Komplek Ruko Tangerang City Jalan Jenderal Sudirman Blok E No. 19,000/00,Babakan,Tangerang,Kota Tangerang,Banten,"-6.192695, 106.635025",1,82,241,"Rp43.317.276,00","Rp4.037.280.000,00","Rp4.037.280.000,00",Properti Sederhana,Ruko,(NULL),Penjamin Utang,(NULL),Pendekatan Pasar,(NULL),Perbandingan Data Pasar,(NULL),(NULL),(NULL),Nilai Pasar,(NULL),-6.192695,106.635025
Ruko,24 Februari 2021,Komplek Ruko Edelwis No. 18,-,Tanah Tinggi,Tangerang,Kota Tangerang,Banten,"-6.173736, 106.663574",1,32,64,"Rp729.600.000,00","Rp729.600.000,00","Rp729.600.000,00",Properti Sederhana,Ruko,(NULL),Penjamin Utang,(NULL),Pendekatan Pasar,(NULL),Perbandingan Data Pasar,(NULL),(NULL),(NULL),Nilai Pasar,(NULL),-6.173736,106.663574
Ruko,3 Maret 2021,"Karawaci Office Park , Blok G No. 36",-,Panunggangan Barat,Cibodas,Kota Tangerang,Banten,"-6.224039, 106.620573",1,100,410,"Rp4.182.000.000,00","Rp4.182.000.000,00","Rp4.182.000.000,00",Properti Sederhana,Ruko,(NULL),Penjamin Utang,(NULL),(NULL),(NULL),(NULL),(NULL),(NULL),(NULL),(NULL),(NULL),-6.224039,106.620573
Ruko,18 Januari 2021,"Ruko Taman Cibodas Jl. Nusa Indah Raya Blok A-2 No. 12 RT 002 RW 010, Kel Sangiang Jaya, Kec Priuk, Kota Tangerang",002/010,Sangiang Jaya,Periuk,Kota Tangerang,Banten,"-6.185541,106.599589",1,52,107,"Rp11.000.000,00","Rp1.186.900.000,00","Rp1.186.900.000,00",Properti,Ruko,(NULL),Penjamin Utang,(NULL),Pendekatan Pasar,(NULL),Perbandingan Data Pasar,(NULL),(NULL),(NULL),Nilai Pasar,(NULL),-6.185541,106.599589
Ruko,7 Mei 2021,"Jalan Hos Cokroaminoto No. 8C dan 8D , Kelurahan Larangan Utara, Kecamatan Larangan (dh.Ciledug), Kota Tangerang, Propinsi Banten (dh. Jawa Barat)",-,Larangan Utara,Larangan,Kota Tangerang,Banten,"-6.229607, 106.724143",1,305,783,"Rp14.700.000,00","Rp11.510.100.000,00","Rp11.510.100.000,00",Properti,Ruko,(NULL),Lelang,(NULL),Pendekatan Pasar,(NULL),Perbandingan Data Pasar,(NULL),(NULL),(NULL),Nilai Pasar,(NULL),-6.229607,106.724143
Ruko,8 Desember 2021,Komplek Mahkota Mas Blok H No. 51,-,Cikokol,Tangerang,Kota Tangerang,Banten,"-6.209888, 106.632139",1,125,263,"Rp7.620.000,00","Rp2.000.000.000,00","Rp2.000.000.000,00",Properti Sederhana,Ruko,(NULL),Penjamin Utang,(NULL),Pendekatan Pasar,(NULL),Perbandingan Data Pasar,(NULL),(NULL),(NULL),Nilai Pasar,(NULL),-6.209888,106.632139
Ruko,9 September 2021,"Kompleks Ruko Metropolitan Town Square, Blok GM 05 No. 8",00/00,Kelapa Indah,Tangerang,Kota Tangerang,Banten,"-6.198695, 106.637177",1,75,178,"Rp17.032.000,00","Rp1.582.600.000,00","Rp1.582.600.000,00",Properti Sederhana,Ruko,(NULL),Penjamin Utang,(NULL),Pendekatan Pasar,(NULL),Perbandingan Data Pasar,(NULL),(NULL),(NULL),Nilai Pasar,(NULL),-6.198695,106.637177
Ruko,10 Mei 2021,Ruko Pinus Niaga Center No. 71 Jl. Permata Raya,000/000,Tanah Tinggi,Tangerang,Kota Tangerang,Banten,"-6.180486, 106.660728",1,90,148,"Rp10.135.003,00","Rp1.505.048.000,00","Rp1.505.048.000,00",Properti Sederhana,Ruko,(NULL),Penjamin Utang,(NULL),Pendekatan Pasar,(NULL),Perbandingan Data Pasar,(NULL),(NULL),(NULL),Nilai Pasar,(NULL),-6.180486,106.660728
Ruko,8 November 2021,"Jl. Jendral Sudirman, Ruko Tanggerang City Blok A No. 29",-,Babakan,Tangerang,Kota Tangerang,Banten,"-6.193718, 106.635265",1,82,244,"Rp14.349.159,00","Rp3.489.000.000,00","Rp3.489.000.000,00",Properti,Ruko,(NULL),Penjamin Utang,(NULL),Pendekatan Pasar,(NULL),Lainnya,Metode Perbandingan Langsung,(NULL),(NULL),Lainnya,Nilai Pasar dan Indikasi Nilai Likuidasi,-6.193718,106.635265
